"";"chave";"ano";"sigla";"dsc_tribunal";"secao";"dpjio";"tram";"cp";"tbaix";"mag";"serv";"tc";"ips";"ipm";"dpjio_tbaix";"eff";"target.tbaix"
"104";"TRF4_2º Grau_2014";2014;"TRF4";"TRF 4ª Região";"2º Grau";302321053;222621;92789;129832;27;621;0,416802547827923;209,0692431562;4808,59259259259;2328,55577207468;1;129832
"105";"TRF4_total_2014";2014;"TRF4";"TRF 4ª Região";"total";1553508630,79;2422401;1708032;714369;388;5254;0,705098784222761;135,966692044157;1841,15721649485;2174,65851792281;0,695846185949821;1026619,12132908
"106";"TRF5_SE_2014";2014;"TRF5";"TRF 5ª Região";"SE";64672590,5400001;69678;34179;35727;13;289;0,487255661758374;123,622837370242;2748,23076923077;1810,1881081535;0,841311242434921;42465,8535366757
"107";"TRF5_AL_2014";2014;"TRF5";"TRF 5ª Região";"AL";91939500,97;136984;70601;71672;19;393;0,476785609998248;182,371501272265;3772,21052631579;1282,78129492689;0,969777863039516;73905,5847030399
"108";"TRF5_PE_2014";2014;"TRF5";"TRF 5ª Região";"PE";208488308,97;263835;163910;158970;50;896;0,397464324293593;177,421875;3179,4;1311,49467805246;0,988640927130123;160796,499151078
"109";"TRF5_RN_2014";2014;"TRF5";"TRF 5ª Região";"RN";100225618,16;133699;70530;81484;21;431;0,390541440100524;189,058004640371;3880,19047619048;1230,00365912326;1;81484
"110";"TRF5_CE_2014";2014;"TRF5";"TRF 5ª Região";"CE";218101582,61;298280;171628;157970;52;924;0,470396942470162;170,963203463203;3037,88461538462;1380,65191245173;0,898179681775256;175877,948705956
"111";"TRF5_PB_2014";2014;"TRF5";"TRF 5ª Região";"PB";110241426,5;165844;103387;85422;25;489;0,484925592725694;174,687116564417;3416,88;1290,55075390415;0,940375120778845;90838,2177627701
"112";"TRF5_2º Grau_2014";2014;"TRF5";"TRF 5ª Região";"2º Grau";192811721,04;85573;43273;42300;13;446;0,505685204445327;94,8430493273543;3253,84615384615;4558,19671489362;0,81613490260583;51829,6667192406
"113";"TRF5_total_2014";2014;"TRF5";"TRF 5ª Região";"total";986480748,79;1295130;661585;633545;193;4148;0,51082516812984;152,735053037608;3282,61658031088;1557,08078950982;0,935539110618376;677197,77057876
"114";"TRF_total_2014";2014;"TRF";"TRF";"total";7783131162,32;13121730;9422501;3699229;1751;28786;0,718083743530769;128,507920516918;2112,63792118789;2103,98738826929;0,71271135092147;5190360,71926908
"115";"TRF1_DF_2015";2015;"TRF1";"TRF 1ª Região";"DF";250513695,99;334756;268148;66608;56;493;0,801025224342506;135,107505070994;1189,42857142857;3761,01513316719;0,520459974625018;127979,101655204
"116";"TRF1_GO_2015";2015;"TRF1";"TRF 1ª Região";"GO";209235625,27;291666;209870;81796;34;450;0,719555930413555;181,768888888889;2405,76470588235;2558,01781590787;0,711907576018471;114896,93712415
